scenario,policy,start,success,evac_time,fed,incapacitated,timed_out,smoke_time,fire_time,wait_time,path_length,n_reroutes,plan_ms,n_plans
0,shortest_path,C1,0,,1.0,1,0,118.0,0.0,118.0,0.0,0,14.485,472
0,static_risk,C1,0,,1.0,1,0,118.0,0.0,118.0,0.0,0,50.996,236
0,dynamic_risk,C1,0,,1.0,1,0,118.0,0.0,118.0,0.0,0,121.86,268
0,dynamic_perfect_perception,C1,0,,1.0,1,0,118.0,0.0,118.0,0.0,0,100.943,236
0,oracle,C1,0,,1.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
1,shortest_path,JA,0,,1.0,1,0,69.0,0.0,69.0,0.0,0,2.879,207
1,static_risk,JA,0,,1.0,1,0,69.0,0.0,69.0,0.0,0,21.793,138
1,dynamic_risk,JA,0,,1.0,1,0,69.0,0.0,69.0,0.0,0,51.377,138
1,dynamic_perfect_perception,JA,0,,1.0,1,0,69.0,0.0,69.0,0.0,0,55.079,138
1,oracle,JA,0,,1.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
2,shortest_path,S,0,,1.0,1,0,114.0,0.0,114.0,0.0,0,9.079,456
2,static_risk,S,0,,1.0,1,0,114.0,0.0,114.0,0.0,0,79.761,342
2,dynamic_risk,S,0,,1.0,1,0,114.0,0.0,114.0,0.0,0,125.071,265
2,dynamic_perfect_perception,S,0,,1.0,1,0,114.0,0.0,114.0,0.0,0,101.488,228
2,oracle,S,0,,1.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0
3,shortest_path,JA,1,12.037574147191012,0.1027,0,0,12.04,0.0,0.0,12.0,0,0.027,1
3,static_risk,JA,1,12.037574147191012,0.1027,0,0,12.04,0.0,0.0,12.0,0,0.322,1
3,dynamic_risk,JA,1,12.037574147191012,0.1027,0,0,12.04,0.0,0.0,12.0,0,0.207,1
3,dynamic_perfect_perception,JA,1,12.037574147191012,0.1027,0,0,12.04,0.0,0.0,12.0,0,0.191,1
3,oracle,JA,1,12.037574147191012,0.1027,0,0,12.04,0.0,0.0,12.0,0,0.0,0
4,shortest_path,JA,1,11.410950623377243,0.0819,0,0,10.41,0.0,0.0,12.0,0,0.026,1
4,static_risk,JA,1,11.410950623377243,0.0819,0,0,10.41,0.0,0.0,12.0,0,0.245,1
4,dynamic_risk,JA,1,11.410950623377243,0.0819,0,0,10.41,0.0,0.0,12.0,0,0.226,1
4,dynamic_perfect_perception,JA,1,11.410950623377243,0.0819,0,0,10.41,0.0,0.0,12.0,0,0.189,1
4,oracle,JA,1,11.410950623377243,0.0819,0,0,10.41,0.0,0.0,12.0,0,0.0,0
5,shortest_path,C2,1,12.568141980606201,0.0209,0,0,0.0,0.0,0.0,16.0,0,0.024,1
5,static_risk,C2,1,12.568141980606201,0.0209,0,0,0.0,0.0,0.0,16.0,0,0.233,1
